Tag	GSM1337304	GSM1337305	GSM1337306	GSM1337307	GSM1337308	GSM1337309	GSM1337310	GSM1337311	GSM1337312	GSM1337313	GSM1337314	GSM1337315	GSM1337316	GSM1337317	GSM1337318	GSM1337319	GSM1337320	GSM1337321	GSM1337322	GSM1337323	GSM1337324	GSM1337325	GSM1337326	GSM1337327	GSM1337328	GSM1337329	GSM1337330	GSM1337331	GSM1337332	GSM1337333	GSM1337334	GSM1337335	GSM1337336
HTR4	54.96666666666666	85.86666666666666	98.33333333333333	83.43333333333334	73.76666666666667	84.76666666666667	36.86666666666667	67.16666666666667	99.39999999999999	106.13333333333333	58.20000000000001	32.76666666666667	42.63333333333333	16.5	62.13333333333333	39.233333333333334	31.5	29.733333333333334	44.23333333333333	106.53333333333332	74.49999999999999	38.766666666666666	120.03333333333332	69.33333333333334	54.4	29.266666666666666	18.2	46.800000000000004	26.833333333333332	55.5	48.56666666666666	46.46666666666667	69.8
CRHBP	54.5	102.9	125.6	20.2	71.3	20.7	133.2	104.1	77.3	76.3	81.6	106.1	102.3	49.5	173.8	63.8	65.3	71.6	60.4	143.3	66.5	35.5	27.0	102.0	121.4	95.7	160.3	208.7	104.5	231.4	166.2	97.4	84.7
HTR6	146.4	206.5	111.3	226.6	190.2	119.9	131.4	151.9	208.3	142.2	203.1	146.9	197.1	92.0	160.2	98.6	53.8	57.2	58.4	153.4	174.6	96.3	225.8	66.6	157.5	122.8	112.8	126.1	119.8	106.6	132.4	175.0	185.7
HTR7	10.25	6.65	4.15	8.35	5.5	16.25	23.049999999999997	16.2	17.15	8.6	19.0	6.15	3.6	4.6499999999999995	8.05	5.3	18.9	3.15	7.25	5.6	4.4	3.65	15.9	4.85	5.4	5.0	10.05	5.95	18.85	4.7	4.7	7.75	6.449999999999999
APITD1 /// APITD1-CORT	191.8	205.9	167.9	76.5	122.3	50.3	158.3	190.9	148.9	225.4	206.9	114.7	206.5	188.2	172.9	124.3	172.9	130.0	101.6	184.1	155.7	105.7	137.2	143.1	179.6	135.0	260.5	155.1	166.0	231.2	162.6	149.3	179.8
BBX	509.4	455.95	577.55	291.45	479.0	770.3	725.6	633.5999999999999	729.9000000000001	611.85	721.65	564.0	564.6	550.0	686.4	529.75	369.05	599.7	719.95	349.54999999999995	459.8	374.6	574.9	902.4000000000001	636.05	513.3	249.8	368.45000000000005	632.95	442.34999999999997	523.05	523.7	678.85
GSTK1	1487.7	1373.1	1595.2	652.4	1184.8	1345.7	1415.0	1556.2	1600.7	1573.0	1405.5	1431.9	1888.7	2258.4	1299.6	1963.0	2407.8	2143.7	2088.2	1752.5	1484.6	1840.4	1429.3	1353.8	1679.6	1650.4	2244.5	1518.2	2128.9	2693.0	1784.1	1426.3	1972.7
WDR83OS	1475.3	1338.3	1794.7	1596.7	1261.2	2102.2	2108.7	2049.9	1848.8	2160.6	1580.2	1443.6	1361.0	1246.0	1897.5	1781.1	2055.9	1765.4	1377.5	1795.1	1655.6	1455.5	1808.7	2449.6	2219.8	2410.3	3033.3	3133.4	2113.9	3571.2	2088.6	2187.0	1784.1
SAA2-SAA4 /// SAA4	127.5	97.8	87.8	169.1	146.2	122.0	57.8	110.5	140.1	117.1	177.5	83.6	73.5	74.9	84.0	114.1	45.8	55.7	70.7	130.6	118.1	97.8	136.6	100.3	138.2	94.2	17.8	106.4	74.4	101.7	108.1	81.9	97.2
BCR	501.75	560.15	489.95	1253.1	912.0	333.65	342.1	432.8	386.3	445.5	588.3499999999999	639.4	421.7	467.54999999999995	625.7	440.0	388.75	449.25	305.5	510.45	404.95	362.29999999999995	314.25	486.5	626.15	629.05	450.0	520.9	372.6	362.15	390.7	425.79999999999995	288.25
