  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        1.713            1      116.637      116.413      172.678
        1        0.195        1.783            0      118.953      120.664      180.324
        2        0.273        1.746            1      117.283      110.167      174.944
        3        0.222        1.764            0      118.549      128.712      177.133
        4        0.148        1.781            1      118.905      122.763      181.300
        5        0.146        1.760            0      118.320      147.771      174.646
        6        0.269        1.839            0      121.476      120.729      186.050
        7        0.226        1.684            1      114.862      117.347      171.349
        8        0.228        1.737            0      116.968      123.545      173.936
        9        0.078        1.742            1      117.927      125.214      174.620
       10        0.139        1.776            1      118.454      114.120      179.464
       11        0.094        1.733            1      117.082      127.445      176.278
       12        0.290        1.775            0      119.645      136.206      176.274
       13        0.236        1.744            0      117.938      107.782      176.329
       14        0.092        1.732            1      117.119      114.219      175.172
       15        0.218        1.769            0      118.458      136.840      179.929
       16        0.248        1.782            0      119.774      126.641      177.160
       17        0.271        1.828            0      120.328      115.474      183.341
       18        0.131        1.793            0      119.745      123.990      178.713
       19        0.104        1.764            0      118.718      113.025      175.622
       20        0.143        1.765            0      118.912      119.258      178.964
       21        0.155        1.767            0      118.105      119.451      180.284
       22        0.139        1.768            0      118.853      113.277      177.610
       23        0.229        1.780            0      119.575      110.387      177.216
       24        0.203        1.810            1      120.332      116.809      181.843
       25        0.292        1.724            0      117.345      113.404      171.517
       26        0.186        1.755            1      118.177      145.501      173.493
       27        0.110        1.738            0      117.284      142.446      174.050
       28        0.126        1.767            1      118.139      130.284      177.323
       29        0.133        1.785            1      119.690      133.134      177.763
       30        0.122        1.767            1      118.608      134.871      176.318
       31        0.140        1.764            0      118.742      129.024      177.044
       32        0.173        1.743            1      117.014      133.863      178.350
       33        0.223        1.749            0      117.838      112.457      175.229
       34        0.139        1.751            0      117.628      109.234      178.072
       35        0.368        1.748            0      117.994       96.205      176.103
       36        0.147        1.763            1      118.718      117.835      174.721
       37        0.185        1.739            1      117.674      119.055      172.810
       38        0.321        1.844            0      121.640      127.636      185.349
       39        0.095        1.752            0      118.387       97.775      175.241
       40        0.203        1.787            1      119.512      108.053      180.128
       41        0.152        1.806            1      120.659      106.023      179.605
       42        0.692        1.752            0      117.724      112.342      174.766
       43        0.695        1.768            0      119.226      111.467      176.965
       44        0.692        1.801            0      119.318      110.468      180.592
       45        0.686        1.791            1      118.833      115.149      181.962
       46        0.645        1.761            1      118.599      118.497      174.623
       47        0.603        1.728            1      116.960      120.460      173.101
       48        0.608        1.761            1      118.567      116.882      176.865
       49        0.699        1.765            0      118.841      118.860      176.640
       50        0.646        1.805            1      120.079      122.494      181.206
       51        0.677        1.761            1      118.291      109.871      177.493
       52        0.690        1.803            0      119.731      118.886      179.422
       53        0.671        1.823            0      120.826      131.823      185.519
       54        0.721        1.779            0      119.132      107.993      177.672
       55        0.728        1.788            0      118.897      122.127      178.534
       56        0.676        1.764            1      117.798      113.962      175.716
       57        0.706        1.751            0      119.040      120.268      176.528
       58        0.669        1.757            0      118.547      117.715      174.627
       59        0.722        1.715            1      116.490      116.066      172.657
       60        0.719        1.738            1      117.425      113.583      176.294
