## Torsion are defined with the following atomIDs:
# dihed1: ai= 1637 aj= 1639 ak= 1638 al= 1633
# dihed2: ai= 1639 aj= 1638 ak= 1633 al= 1634
# Frame#   dihed1   dihed2
0  -66.644   61.841
1  -80.910   51.590
2  -56.192   32.973
3  -57.949   70.911
4  -71.349   65.126
5  -61.968   73.091
6  -66.684   75.089
7  -50.881   69.961
8  -51.056   73.672
9  -64.069   61.894
10  -69.349   53.743
11  -65.981   62.092
12  -50.961   78.672
13  -69.908   82.364
14  -73.364   65.738
15  -68.328   80.446
16  -50.053   72.523
17  -86.588   48.377
18  -65.646   56.431
19  -52.472   49.323
20  -62.539   60.257
21  -82.397   60.113
22  -56.576   66.562
23  -54.640   66.356
24  -79.542   71.988
25  -53.963   79.204
26  -53.332   69.555
27  -62.339   62.096
28  -63.010   56.934
29  -70.269   61.958
30  -64.694   54.799
31  -61.915   68.793
32  -64.565  -48.636
33  -52.788  -44.930
34  -74.259  -47.713
35  -57.755  -29.493
36  -59.840  -53.076
37  -60.207  -45.298
38  -80.308  -35.589
39  -68.619  -60.998
40  -76.398  -42.719
41  -74.760  -58.078
42   57.197  -62.018
43   56.608  -64.598
44   81.045  -60.280
45   77.444  -54.661
46   62.985  -53.228
47   51.222  -39.055
48   68.268  -50.593
49   62.983  -59.309
50   70.046  -52.337
51   72.980  -60.174
52   59.773  -63.108
53   79.706  -50.675
54   65.541  -66.149
55   68.395  -62.695
56   58.694  -55.211
57   54.753  -62.840
58   47.781  -53.661
59   67.605  -62.910
60   70.194  -66.644
61   53.861  -61.494
62   75.274  -64.097
63   64.616  -55.430
64   67.460  -44.824
65   81.602  -52.785
66   58.502  -53.253
67   64.913  -53.125
68   79.926  -55.269
69   78.478  -57.174
70   57.965  -77.473
71   78.768  -61.800
72   65.792  -57.018
73   76.566  -52.181
74   56.773  -54.729
75   60.195  -45.391
76   41.501  -66.640
77   76.696  -66.513
78   91.868  -70.683
79   65.265  -46.496
80   79.476  -53.540
81   65.438  -53.049
82   58.301  -57.284
83   72.582  -43.074
84   66.935  -51.381
85   65.835  -52.618
86   57.728  -61.533
87   50.180  -69.404
88   68.344  -65.868
89   65.527  -49.159
90   67.039  -57.383
91   73.051  -57.599
92   76.867  -57.970
93   70.823  -47.971
94   51.860  -66.035
95   63.750  -58.356
96   62.984  -64.713
97   55.499  -67.899
98   54.961  -65.685
99   60.085  -87.424
100   66.688  -40.918
101   61.929  -61.888
102   68.432  -39.736
103   64.636   32.523
104   65.507   26.076
105   63.883   66.490
106   74.151   76.877
107   59.447   65.263
108   57.297   54.991
109   50.857   48.489
110   75.066   50.792
111   70.373   60.866
112   65.289   49.720
113   79.818   71.251
114   78.715   55.490
115   80.282   46.911
116   45.447   41.377
117   69.297   62.626
118   67.096   58.017
119   60.634   39.551
120   65.254   61.323
121   70.369   36.360
122   64.663   36.826
123   47.748   20.746
124   72.569   49.040
125   81.038   46.694
126   72.392   56.538
127   68.735   51.636
128   72.703   68.614
129   65.001   72.027
130   74.921   66.260
131   59.594   71.305
132   60.761   55.032
133   64.712   60.090
134   58.466   47.715
135   49.712   60.539
136   78.892   24.621
137   58.834   52.014
138   69.408   62.211
139   63.156   61.887
140   69.887   56.794
141   58.886   36.491
142   63.208   45.463
143   65.379   65.146
144   76.106   39.057
145   62.787   29.008
146   71.439   55.621
147   66.713   54.163
148   51.515   18.720
149   49.603   34.960
150   60.329   56.628
151   97.629   77.268
152   83.693   54.198
153   77.059   37.013
154   57.331   44.828
155   63.558   47.207
156   75.384   62.286
157   66.589   41.660
158   73.204   62.099
159   52.745   58.124
160   44.659   51.349
161   51.825   24.964
162   62.532   58.332
163   65.727  -48.302
164   61.790  -48.011
165   60.545  -74.453
166   73.901  -57.504
167   72.101  -54.990
168   74.753  -41.274
169   65.031  -67.714
170   81.471  -75.721
171   67.538  -64.798
172   56.464  -63.002
173   59.272  -60.473
174   62.614  -69.126
175   71.914  -63.280
176   68.852  -52.213
177   59.908  -68.077
178   63.841  -64.107
179   58.827  -59.022
180   71.611  -56.245
181   59.992  -50.435
182   48.289  -69.259
183   55.753  -70.267
184   59.447  -71.146
185   66.433  -64.208
186   66.039  -49.581
187   61.451  -58.862
188   62.221  -53.062
189   73.078  -54.112
190   59.561  -73.895
191   59.503  -70.666
192   56.440  -46.413
193   66.822  -75.486
194   65.951  -65.961
195   70.117  -70.490
196   56.496  -61.103
197   67.833  -48.172
198   64.247  -70.717
199   74.141  -75.201
200   75.696  -60.102
201   59.412  -57.148
202   67.295  -65.344
203   62.283  -52.296
204   72.423  -62.052
205   66.613  -34.739
206   50.450  -46.122
207   69.382  -61.102
208   74.553  -40.741
209   65.241  -57.341
210   55.036  -51.991
211   74.695  -62.182
212   62.858  -58.342
213   67.183  -38.633
214   65.467  -55.437
215   72.291  -47.294
216   57.491  -39.718
217   63.235  -59.288
218   70.304  -53.739
219   71.672  -78.559
220   73.846  -67.541
221   66.445  -61.197
222   76.271  -55.334
223   55.205  -65.305
224   66.631  -59.656
225   66.235  -62.348
226   54.800  -71.201
227   74.771  -63.720
228   68.211  -70.533
229   59.388  -33.906
230   58.143  -58.294
231   55.841  -58.435
232   66.956  -84.863
233   70.223  -41.780
234   79.882  -56.805
235   62.327  -61.311
236   70.550  -63.281
237   82.833  -63.093
238   62.408  -65.017
