Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
VMA21,Vacuolar ATPase Assembly Factor VMA21,Protein Coding,Q3ZAQ7,43,GC0XP151396,45.05446243,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VMA21
ATG5,Autophagy Related 5,Protein Coding,Q9H1Y0,52,GC06M106045,42.31185532,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG5
BECN1,Beclin 1,Protein Coding,Q14457,53,GC17M042810,40.53635025,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BECN1
ATG16L1,Autophagy Related 16 Like 1,Protein Coding,Q676U5,49,GC02P233267,38.58439636,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L1
ULK1,Unc-51 Like Autophagy Activating Kinase 1,Protein Coding,O75385,52,GC12P131894,37.99133301,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK1
AMBRA1,Autophagy And Beclin 1 Regulator 1,Protein Coding,Q9C0C7,44,GC11M108857,34.18306732,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMBRA1
ATG12,Autophagy Related 12,Protein Coding,O94817,46,GC05M115828,33.16148376,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG12
ATG4B,Autophagy Related 4B Cysteine Peptidase,Protein Coding,Q9Y4P1,48,GC02P241637,32.47197342,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG4B
ATG7,Autophagy Related 7,Protein Coding,O95352,50,GC03P014641,32.1160965,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG7
SQSTM1,Sequestosome 1,Protein Coding,Q13501,56,GC05P179806,31.22774506,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQSTM1
ATG14,Autophagy Related 14,Protein Coding,Q6ZNE5,42,GC14M055366,30.12911797,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG14
ATG3,Autophagy Related 3,Protein Coding,Q9NT62,48,GC03M112532,30.11509705,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG3
ATG13,Autophagy Related 13,Protein Coding,O75143,46,GC11P046848,29.90243912,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG13
ATG9A,Autophagy Related 9A,Protein Coding,Q7Z3C6,47,GC02M219219,28.40579605,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG9A
ATG4A,Autophagy Related 4A Cysteine Peptidase,Protein Coding,Q8WYN0,48,GC0XP108091,27.73430252,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG4A
ATG4D,Autophagy Related 4D Cysteine Peptidase,Protein Coding,Q86TL0,44,GC19P010543,26.6727581,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG4D
ATG4C,Autophagy Related 4C Cysteine Peptidase,Protein Coding,Q96DT6,48,GC01P062784,26.04668236,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG4C
ATG10,Autophagy Related 10,Protein Coding,Q9H0Y0,45,GC05P081972,25.66498184,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG10
